(1, 2, 1)
(1, 3, 1)
(1, 18, 1)
(1, 19, 1)
(2, 16, 1)
(2, 21, 1)
(2, 7, 1)
(2, 16, 1)
(2, 1, 1)
(3, 4, 1)
(3, 1, 1)
(3, 26, 1)
(4, 6, 1)
(4, 18, 1)
(4, 19, 1)
(5, 9, 1)
(5, 20, 1)
(5, 24, 1)
(5, 16, 1)
(6, 20, 1)
(6, 4, 1)
(6, 26, 1)
(6, 11, 1)
(6, 24, 1)
(6, 20, 1)
(6, 20, 1)
(7, 2, 1)
(7, 22, 1)
(7, 10, 1)
(8, 3, 1)
(8, 11, 1)
(8, 25, 1)
(9, 5, 1)
(9, 21, 1)
(9, 10, 1)
(9, 15, 1)
(9, 12, 1)
(9, 24, 1)
(10, 9, 1)
(10, 7, 1)
(10, 23, 1)
(11, 6, 1)
(11, 12, 1)
(11, 8, 1)
(11, 24, 1)
(12, 24, 1)
(12, 11, 1)
(12, 14, 1)
(12, 9, 1)
(13, 23, 1)
(13, 22, 1)
(13, 15, 1)
(14, 15, 1)
(14, 12, 1)
(14, 25, 1)
(14, 8, 1)
(15, 13, 1)
(15, 14, 1)
(16, 2, 1)
(16, 17, 1)
(16, 5, 1)
(17, 20, 1)
(17, 18, 1)
(17, 16, 1)
(18, 1, 1)
(18, 17, 1)
(18, 4, 1)
(19, 4, 1)
(19, 1, 1)
(19, 26, 1)
(20, 17, 1)
(20, 5, 1)
(20, 6, 1)
(21, 9, 1)
(21, 2, 1)
(22, 7, 1)
(22, 23, 1)
(22, 13, 1)
(23, 13, 1)
(23, 22, 1)
(23, 10, 1)
(24, 5, 1)
(24, 9, 1)
(24, 12, 1)
(24, 6, 1)
(25, 8, 1)
(25, 14, 1)
(26, 6, 1)
(26, 3, 1)
(26, 19, 1)
